,Date,HomeTeam,AwayTeam,FTR,HomeTeamcat,AwayTeamcat,FTRcat,MatchYear
88,2000-10-16,Middlesbrough,Newcastle,A,28,29,0,2000
89,2000-10-21,Bradford,Ipswich,A,8,21,0,2000
90,2000-10-21,Charlton,Middlesbrough,H,12,28,2,2000
91,2000-10-21,Chelsea,Coventry,H,13,14,2,2000
92,2000-10-21,Liverpool,Leicester,H,24,23,2,2000
93,2000-10-21,ManUnited,Leeds,H,26,22,2,2000
94,2000-10-21,Newcastle,Everton,A,29,17,0,2000
95,2000-10-21,Tottenham,Derby,H,43,16,2,2000
96,2000-10-21,WestHam,Arsenal,A,46,0,0,2000
97,2000-10-22,AstonVilla,Sunderland,D,1,40,1,2000
98,2000-10-23,Southampton,ManCity,A,38,25,0,2000
99,2000-10-28,Arsenal,ManCity,H,0,25,2,2000
100,2000-10-28,AstonVilla,Charlton,H,1,12,2,2000
101,2000-10-28,Chelsea,Tottenham,H,13,43,2,2000
102,2000-10-28,Ipswich,Middlesbrough,H,21,28,2,2000
103,2000-10-28,Leicester,Derby,H,23,16,2,2000
104,2000-10-28,ManUnited,Southampton,H,26,38,2,2000
105,2000-10-28,Sunderland,Coventry,H,40,14,2,2000
106,2000-10-28,WestHam,Newcastle,H,46,29,2,2000
107,2000-10-29,Bradford,Leeds,D,8,22,1,2000
108,2000-10-29,Liverpool,Everton,H,24,17,2,2000
109,2000-04-11,Charlton,Bradford,H,12,8,2,2000
110,2000-04-11,Coventry,ManUnited,A,14,26,0,2000
111,2000-04-11,Leeds,Liverpool,H,22,24,2,2000
112,2000-04-11,ManCity,Leicester,A,25,23,0,2000
113,2000-04-11,Middlesbrough,Arsenal,A,28,0,0,2000
114,2000-04-11,Newcastle,Ipswich,H,29,21,2,2000
115,2000-04-11,Southampton,Chelsea,H,38,13,2,2000
116,2000-04-11,Tottenham,Sunderland,H,43,40,2,2000
117,2000-05-11,Everton,AstonVilla,A,17,1,0,2000
118,2000-06-11,Derby,WestHam,D,16,46,1,2000
119,2000-11-11,Arsenal,Derby,D,0,16,1,2000
120,2000-11-11,AstonVilla,Tottenham,H,1,43,2,2000
121,2000-11-11,Bradford,Everton,A,8,17,0,2000
122,2000-11-11,Ipswich,Charlton,H,21,12,2,2000
123,2000-11-11,Leicester,Newcastle,D,23,29,1,2000
124,2000-11-11,ManUnited,Middlesbrough,H,26,28,2,2000
125,2000-11-11,Sunderland,Southampton,D,40,38,1,2000
126,2000-11-11,WestHam,ManCity,H,46,25,2,2000
127,2000-12-11,Chelsea,Leeds,D,13,22,1,2000
128,2000-12-11,Liverpool,Coventry,H,24,14,2,2000
129,2000-11-18,Charlton,Chelsea,H,12,13,2,2000
130,2000-11-18,Derby,Bradford,H,16,8,2,2000
131,2000-11-18,Everton,Arsenal,H,17,0,2,2000
132,2000-11-18,Leeds,WestHam,A,22,46,0,2000
133,2000-11-18,ManCity,ManUnited,A,25,26,0,2000
134,2000-11-18,Middlesbrough,Leicester,A,28,23,0,2000
135,2000-11-18,Newcastle,Sunderland,A,29,40,0,2000
136,2000-11-18,Southampton,AstonVilla,H,38,1,2,2000
137,2000-11-19,Tottenham,Liverpool,H,43,24,2,2000
138,2000-11-20,Coventry,Ipswich,A,14,21,0,2000
139,2000-11-25,Charlton,Sunderland,A,12,40,0,2000
140,2000-11-25,Coventry,AstonVilla,D,14,1,1,2000
141,2000-11-25,Derby,ManUnited,A,16,26,0,2000
142,2000-11-25,Everton,Chelsea,H,17,13,2,2000
143,2000-11-25,ManCity,Ipswich,A,25,21,0,2000
144,2000-11-25,Middlesbrough,Bradford,D,28,8,1,2000
145,2000-11-25,Southampton,WestHam,A,38,46,0,2000
146,2000-11-25,Tottenham,Leicester,H,43,23,2,2000
147,2000-11-26,Leeds,Arsenal,H,22,0,2,2000
148,2000-11-26,Newcastle,Liverpool,H,29,24,2,2000
149,2000-02-12,Arsenal,Southampton,H,0,38,2,2000
150,2000-02-12,AstonVilla,Newcastle,D,1,29,1,2000
151,2000-02-12,Bradford,Coventry,H,8,14,2,2000
152,2000-02-12,Ipswich,Derby,A,21,16,0,2000
153,2000-02-12,Leicester,Leeds,H,23,22,2,2000
154,2000-02-12,Liverpool,Charlton,H,24,12,2,2000
155,2000-02-12,ManUnited,Tottenham,H,26,43,2,2000
156,2000-02-12,WestHam,Middlesbrough,H,46,28,2,2000
157,2000-03-12,Chelsea,ManCity,H,13,25,2,2000
158,2000-04-12,Sunderland,Everton,H,40,17,2,2000
159,2000-09-12,Arsenal,Newcastle,H,0,29,2,2000
160,2000-09-12,Bradford,Tottenham,D,8,43,1,2000
161,2000-09-12,Charlton,ManUnited,D,12,26,1,2000
162,2000-09-12,Chelsea,Derby,H,13,16,2,2000
163,2000-09-12,ManCity,Everton,H,25,17,2,2000
164,2000-09-12,Southampton,Leeds,H,38,22,2,2000
165,2000-09-12,Sunderland,Middlesbrough,H,40,28,2,2000
166,2000-09-12,WestHam,AstonVilla,D,46,1,1,2000
167,2000-10-12,Coventry,Leicester,H,14,23,2,2000
168,2000-10-12,Liverpool,Ipswich,A,24,21,0,2000
